"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.383473531231566,0.146250044855771,2.62204043499432,0.0087405060196765
"2","fixed",NA,"ot1",6.5765268622608,0.311782784101842,21.0932969926672,9.16464790827117e-99
"3","fixed",NA,"ot2",-0.809338100702858,0.240664973020915,-3.36292436137984,0.000771214915618146
"4","fixed",NA,"ot3",0.573660877754728,0.108470053605518,5.2886567184802,1.23217891262936e-07
"5","fixed",NA,"Group1",-0.400888422382543,0.146232285834308,-2.74144946921488,0.00611687685161663
"6","fixed",NA,"SNR1",0.24653316631654,0.146235381975356,1.6858653698329,0.0918217333802953
"7","fixed",NA,"Condition1",0.313752961143979,0.0308565922101552,10.168101487264,2.75220600037976e-24
"8","fixed",NA,"Group1:SNR1",-0.243606469426478,0.146240193571506,-1.6657969568904,0.0957538624713534
"9","fixed",NA,"Group1:Condition1",-0.0737370948088577,0.0308608316334432,-2.38934244172961,0.0168785618054833
"10","fixed",NA,"SNR1:Condition1",0.0557837014458897,0.03086031214515,1.80761948173154,0.0706657440069951
"11","fixed",NA,"ot1:Group1",-1.01546921612382,0.311074798858197,-3.26438920751892,0.00109700357315714
"12","fixed",NA,"ot1:SNR1",1.22718336717735,0.311042070885665,3.94539350796839,7.96690337094819e-05
"13","fixed",NA,"ot1:Condition1",-0.0873777292318484,0.185739307306517,-0.470432083003589,0.638046346935077
"14","fixed",NA,"ot2:Group1",-0.266358199364484,0.240138674227263,-1.10918493333734,0.2673504109053
"15","fixed",NA,"ot2:SNR1",0.938067745191099,0.24000527922138,3.90852962999131,9.28595599969811e-05
"16","fixed",NA,"ot2:Condition1",0.297057047182067,0.117843663399907,2.52077234033358,0.011709758493054
"17","fixed",NA,"ot3:Group1",0.0557939615568744,0.108104057295642,0.516113483181206,0.605775151404779
"18","fixed",NA,"ot3:SNR1",-0.0713887257503268,0.108094785292892,-0.660427101611727,0.508979785082114
"19","fixed",NA,"ot3:Condition1",0.264514079530468,0.1078235947484,2.45321147145666,0.0141587074355376
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0815036105801929,0.0308562038304333,-2.64140109483611,0.00825639098819156
"21","fixed",NA,"ot1:Group1:SNR1",-0.797211222641283,0.311382671189275,-2.56022989203756,0.0104602941925275
"22","fixed",NA,"ot1:Group1:Condition1",-0.392235423472702,0.185755719713745,-2.11156579230588,0.0347237092140089
"23","fixed",NA,"ot1:SNR1:Condition1",0.628468623918905,0.185688025067265,3.38454040690693,0.000712975240350532
"24","fixed",NA,"ot2:Group1:SNR1",-0.0547559794275644,0.240323115395014,-0.227843165804351,0.819768167666544
"25","fixed",NA,"ot2:Group1:Condition1",-0.362476059518066,0.117836210009211,-3.0761007969429,0.00209726932811047
"26","fixed",NA,"ot2:SNR1:Condition1",0.352154492874074,0.117722167285691,2.99140341189487,0.00277698371692434
"27","fixed",NA,"ot3:Group1:SNR1",0.16806556096046,0.108166136896137,1.55377242622468,0.120238709989049
"28","fixed",NA,"ot3:Group1:Condition1",0.033958802809139,0.107869627655878,0.314813386743793,0.752903347023029
"29","fixed",NA,"ot3:SNR1:Condition1",-0.189783254708262,0.107819171615199,-1.76019952542011,0.0783739824362492
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.446318816576351,0.185651523770462,-2.40406761825546,0.0162137739305629
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.0241535009201603,0.117720521041884,-0.205176639607012,0.837434120072225
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.00534490811828546,0.107823444349022,0.0495709272742589,0.960464314813085
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.381152636028821,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.366561032984969,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.00370577413218243,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",0.164744525331939,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",2.24596535335572,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.295758716977345,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.534051420138943,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.34744746842562,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.183847580066812,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",1.23596588536699,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.27801576582969,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",-0.226130737628738,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.856742759489488,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",2.22002103269402,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",0.509078025096049,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",1.86429128166397,NA,NA,NA
