"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.104084084825103,0.157630626567537,0.660303692826521,0.509058960804788
"2","fixed",NA,"ot1",4.83628344361915,0.210579898397399,22.9665009833574,1.00810474237468e-116
"3","fixed",NA,"ot2",-0.831181455887114,0.167492237607985,-4.96250732426473,6.95889414713225e-07
"4","fixed",NA,"ot3",0.179368515843069,0.0638865364021781,2.80761058502076,0.00499105401937397
"5","fixed",NA,"Group1",-0.346036759567637,0.157616905533,-2.19542921742737,0.0281328231714088
"6","fixed",NA,"SNR1",0.155756384501082,0.157617147755447,0.988194411072254,0.323057444817021
"7","fixed",NA,"Condition1",0.308958269488958,0.0288821865818733,10.6971911081989,1.04910273811439e-26
"8","fixed",NA,"Group1:SNR1",-0.21296163238448,0.157626251549626,-1.35105434717156,0.176678024099371
"9","fixed",NA,"Group1:Condition1",-0.0415762654771448,0.028887446074637,-1.43925030166127,0.15007961818225
"10","fixed",NA,"SNR1:Condition1",0.0222191948195412,0.0288843788078448,0.769246067826343,0.441747247137859
"11","fixed",NA,"ot1:Group1",-0.579148336647069,0.209838314170564,-2.75997421603529,0.00578059236202089
"12","fixed",NA,"ot1:SNR1",0.287440307925349,0.209597609679627,1.37139115453037,0.17025305339583
"13","fixed",NA,"ot1:Condition1",-0.239330525918826,0.134382703270015,-1.78096228231053,0.0749186126748671
"14","fixed",NA,"ot2:Group1",-0.20476636305533,0.16683423548325,-1.22736417056251,0.219685746718643
"15","fixed",NA,"ot2:SNR1",0.54363314444992,0.166401066399206,3.2670051713834,0.00108691694869246
"16","fixed",NA,"ot2:Condition1",0.0341775917802692,0.101444081334597,0.336910653934948,0.736184253706335
"17","fixed",NA,"ot3:Group1",-0.0956857076593851,0.0637134747180914,-1.50181273400578,0.133145478709228
"18","fixed",NA,"ot3:SNR1",0.0255873637091962,0.0636342481008735,0.402100511482982,0.687610056362249
"19","fixed",NA,"ot3:Condition1",0.204725166947046,0.0636388454117312,3.21698430608716,0.0012954568482741
"20","fixed",NA,"Group1:SNR1:Condition1",-0.0618556334560473,0.0288834286245957,-2.14156131739063,0.0322287993218238
"21","fixed",NA,"ot1:Group1:SNR1",-0.65944023553209,0.210279410006035,-3.13601904966903,0.00171258079170264
"22","fixed",NA,"ot1:Group1:Condition1",-0.0686401065568658,0.134390941350798,-0.510749503403627,0.609526472277822
"23","fixed",NA,"ot1:SNR1:Condition1",0.32028274643347,0.134328511860906,2.38432438502046,0.0171105124782865
"24","fixed",NA,"ot2:Group1:SNR1",-0.213416210388757,0.167264679513217,-1.27591916601791,0.201984095165333
"25","fixed",NA,"ot2:Group1:Condition1",-0.241455933231239,0.101373646002664,-2.3818412649861,0.0172263211098456
"26","fixed",NA,"ot2:SNR1:Condition1",0.387061794941555,0.10129782600623,3.82102765875499,0.000132896745155227
"27","fixed",NA,"ot3:Group1:SNR1",0.104602147501608,0.0636459069937832,1.64350156109529,0.100279202622112
"28","fixed",NA,"ot3:Group1:Condition1",-0.0275852981044052,0.0636356805202942,-0.433487909280831,0.664660347941655
"29","fixed",NA,"ot3:SNR1:Condition1",-0.00894477884474654,0.0635504992044254,-0.140750725119775,0.888066871082406
"30","fixed",NA,"ot1:Group1:SNR1:Condition1",-0.30556682768961,0.134363546557471,-2.27417953394755,0.0229551942462805
"31","fixed",NA,"ot2:Group1:SNR1:Condition1",-0.0358286975141424,0.101319432324571,-0.353621182947088,0.723622797144357
"32","fixed",NA,"ot3:Group1:SNR1:Condition1",0.0100080735588899,0.0635832338415348,0.157401141059174,0.874928714231033
"33","ran_pars","Subject:Condition","sd__(Intercept)",0.353692043747203,NA,NA,NA
"34","ran_pars","Subject:Condition","cor__(Intercept).ot1",0.219260882318744,NA,NA,NA
"35","ran_pars","Subject:Condition","cor__(Intercept).ot2",-0.252358502227112,NA,NA,NA
"36","ran_pars","Subject:Condition","cor__(Intercept).ot3",0.306736901848249,NA,NA,NA
"37","ran_pars","Subject:Condition","sd__ot1",1.58843541719347,NA,NA,NA
"38","ran_pars","Subject:Condition","cor__ot1.ot2",0.205827339749495,NA,NA,NA
"39","ran_pars","Subject:Condition","cor__ot1.ot3",-0.379543952767138,NA,NA,NA
"40","ran_pars","Subject:Condition","sd__ot2",1.14836452451511,NA,NA,NA
"41","ran_pars","Subject:Condition","cor__ot2.ot3",-0.312103239235419,NA,NA,NA
"42","ran_pars","Subject:Condition","sd__ot3",0.613167195018826,NA,NA,NA
"43","ran_pars","Subject","sd__(Intercept)",1.38389049245635,NA,NA,NA
"44","ran_pars","Subject","cor__(Intercept).ot1",0.399692920602557,NA,NA,NA
"45","ran_pars","Subject","cor__(Intercept).ot2",-0.865165805517826,NA,NA,NA
"46","ran_pars","Subject","sd__ot1",1.42245813231622,NA,NA,NA
"47","ran_pars","Subject","cor__ot1.ot2",-0.15929289666061,NA,NA,NA
"48","ran_pars","Subject","sd__ot2",1.16903983112988,NA,NA,NA
