"","term","estimate","std.error","statistic","p.value","group"
"1","(Intercept)",-0.167037410520479,0.150899744115342,-1.10694296733069,0.268318587281505,"fixed"
"2","ot1",1.23310392832106,0.093002812714308,13.258781023204,4.01366778613615e-40,"fixed"
"3","ot2",-0.0641259462088217,0.0402596196334556,-1.59281053305166,0.111202701484273,"fixed"
"4","ot3",0.0153583190291127,0.0370977317597054,0.413996174445213,0.678876908501058,"fixed"
"5","Group1",-0.271550413049773,0.150883431188313,-1.79973646483993,0.0719022603818114,"fixed"
"6","SNR1",0.105394059732994,0.150880521976467,0.698526611337097,0.484847921591675,"fixed"
"7","Condition1",0.350451587126951,0.0345584994478321,10.1408218738194,3.64023879290551e-24,"fixed"
"8","Group1:SNR1",-0.100865143711755,0.1508952265769,-0.668444893850579,0.503849646587466,"fixed"
"9","Group1:Condition1",-0.0116272882754797,0.0345587613968472,-0.336449797548024,0.736531702855743,"fixed"
"10","SNR1:Condition1",-0.0371319949886116,0.0345564031314591,-1.07453298444732,0.28258386954718,"fixed"
"11","ot1:Group1",0.00834239632487897,0.0921024895938611,0.0905773162231112,0.927828456858029,"fixed"
"12","ot1:SNR1",-0.112058102719485,0.0916715319000503,-1.22238715113502,0.221561255879087,"fixed"
"13","ot1:Condition1",-0.158989462254206,0.0619168482539454,-2.5677899753897,0.0102349146253112,"fixed"
"14","ot2:Group1",-0.0178478833462374,0.0393218950099754,-0.453891740001586,0.649906748998573,"fixed"
"15","ot2:SNR1",0.106402586964308,0.038514598726783,2.76265599231898,0.00573331579661872,"fixed"
"16","ot2:Condition1",-0.0420845936962968,0.0384901643131187,-1.0933856596178,0.274224507156754,"fixed"
"17","ot3:Group1",-0.0549184989180058,0.0369895862996498,-1.4847016258337,0.137622880858698,"fixed"
"18","ot3:SNR1",0.00738401847166437,0.03700998448624,0.199514227691981,0.841860514986661,"fixed"
"19","ot3:Condition1",-0.0210726714505972,0.0370078343686785,-0.569411093896163,0.569077189871816,"fixed"
"20","Group1:SNR1:Condition1",-0.0367977748903706,0.0345543025559186,-1.0649259909333,0.286909422308164,"fixed"
"21","ot1:Group1:SNR1",-0.0351394583053368,0.0922884049478514,-0.380757022783011,0.703383552139052,"fixed"
"22","ot1:Group1:Condition1",0.0705500187036034,0.0618427613872296,1.14079670960766,0.253954530213438,"fixed"
"23","ot1:SNR1:Condition1",-0.107305710714594,0.0618276841003942,-1.73556089437789,0.0826415055478553,"fixed"
"24","ot2:Group1:SNR1",-0.00995930992148573,0.0391975857449489,-0.254079676903803,0.799434003764405,"fixed"
"25","ot2:Group1:Condition1",0.0132960251694852,0.0383499481542026,0.346702559180075,0.728814787395393,"fixed"
"26","ot2:SNR1:Condition1",-0.0146382059937724,0.0383176784690259,-0.382022256531153,0.702444856093199,"fixed"
"27","ot3:Group1:SNR1",-0.042670558095517,0.0369861208006047,-1.15369109200604,0.248626837289449,"fixed"
"28","ot3:Group1:Condition1",-0.00159179709888035,0.0370001608801069,-0.0430213561513507,0.965684509865364,"fixed"
"29","ot3:SNR1:Condition1",-0.0289643573329765,0.0369810259346148,-0.783222114610547,0.433496690654312,"fixed"
"30","ot1:Group1:SNR1:Condition1",-0.0820066660155137,0.061850092786344,-1.32589398529763,0.184874815553282,"fixed"
"31","ot2:Group1:SNR1:Condition1",-0.0459561224039489,0.0383328131870033,-1.19887163459034,0.230577862826448,"fixed"
"32","ot3:Group1:SNR1:Condition1",-0.00264345022738138,0.0369778798213745,-0.0714873389212913,0.94300990085419,"fixed"
"33","sd_(Intercept).Subject:Condition",0.416688704507319,NA,NA,NA,"Subject:Condition"
"34","sd_ot1.Subject:Condition",0.608945234687661,NA,NA,NA,"Subject:Condition"
"35","sd_ot2.Subject:Condition",0.141815931854085,NA,NA,NA,"Subject:Condition"
"36","sd_ot3.Subject:Condition",0.0771978810371309,NA,NA,NA,"Subject:Condition"
"37","cor_(Intercept).ot1.Subject:Condition",0.261752561242515,NA,NA,NA,"Subject:Condition"
"38","cor_(Intercept).ot2.Subject:Condition",-0.999319276356178,NA,NA,NA,"Subject:Condition"
"39","cor_(Intercept).ot3.Subject:Condition",-0.318296132183409,NA,NA,NA,"Subject:Condition"
"40","cor_ot1.ot2.Subject:Condition",-0.297179673272197,NA,NA,NA,"Subject:Condition"
"41","cor_ot1.ot3.Subject:Condition",-0.99825445942402,NA,NA,NA,"Subject:Condition"
"42","cor_ot2.ot3.Subject:Condition",0.353052297362975,NA,NA,NA,"Subject:Condition"
"43","sd_(Intercept).Subject",1.31022178385862,NA,NA,NA,"Subject"
"44","sd_ot1.Subject",0.600468504142875,NA,NA,NA,"Subject"
"45","sd_ot2.Subject",0.0241294602968417,NA,NA,NA,"Subject"
"46","cor_(Intercept).ot1.Subject",0.95780189824498,NA,NA,NA,"Subject"
"47","cor_(Intercept).ot2.Subject",-0.55013654799157,NA,NA,NA,"Subject"
"48","cor_ot1.ot2.Subject",-0.766946656115619,NA,NA,NA,"Subject"
